universe_id,universe_index,snapshot,path,exists,duplicate_count,total_rows,finite_mvir_rows,positive_mvir_rows,valid_builder_rows,omega_m,target_finite,top1000_feasible_without_padding,top1000_padding,top1000_padding_fraction,top1500_feasible_without_padding,top1500_padding,top1500_padding_fraction,top2000_feasible_without_padding,top2000_padding,top2000_padding_fraction
LH_20,20,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_20_hlist_1.00000.list,True,0,6348,6348,6348,6348,0.1398,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_21,21,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.20000.list,True,0,2329,2329,2329,2329,0.1342,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_21,21,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.25000.list,True,0,3586,3586,3586,3586,0.1342,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_21,21,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.51209.list,True,0,5247,5247,5247,5247,0.1342,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_21,21,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_0.75065.list,True,0,5182,5182,5182,5182,0.1342,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_21,21,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_21_hlist_1.00000.list,True,0,5622,5622,5622,5622,0.1342,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_22,22,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.20000.list,True,0,3105,3105,3105,3105,0.1738,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_22,22,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.25000.list,True,0,4488,4488,4488,4488,0.1738,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_22,22,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.51209.list,True,0,6270,6270,6270,6270,0.1738,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_22,22,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.75065.list,True,0,6139,6139,6139,6139,0.1738,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_22,22,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_1.00000.list,True,0,6437,6437,6437,6437,0.1738,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_23,23,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.20000.list,True,0,7570,7570,7570,7570,0.3642,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_23,23,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.25000.list,True,0,8261,8261,8261,8261,0.3642,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_23,23,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.51209.list,True,0,7262,7262,7262,7262,0.3642,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_23,23,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.75065.list,True,0,6273,6273,6273,6273,0.3642,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_23,23,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_1.00000.list,True,0,6006,6006,6006,6006,0.3642,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_24,24,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.20000.list,True,0,2115,2115,2115,2115,0.1966,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_24,24,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.25000.list,True,0,3660,3660,3660,3660,0.1966,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_24,24,0.51209,data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.51209.list,True,0,6457,6457,6457,6457,0.1966,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_24,24,0.75065,data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.75065.list,True,0,6533,6533,6533,6533,0.1966,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_24,24,1.00000,data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_1.00000.list,True,0,6835,6835,6835,6835,0.1966,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_25,25,0.20000,data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_0.20000.list,True,0,6745,6745,6745,6745,0.3226,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
LH_25,25,0.25000,data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_0.25000.list,True,0,7654,7654,7654,7654,0.3226,True,True,0,0.000000,True,0,0.000000,True,0,0.000000
