universe_id,universe_index,snapshot,path,status,error,raw_halo_count,valid_real_halo_count,at_least_1500,padded_slots_top1500,padded_slot_percentage
LH_22,22,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_0.75065.list,PASS,,6139,6139,True,0,0.0
LH_22,22,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_22_hlist_1.00000.list,PASS,,6437,6437,True,0,0.0
LH_23,23,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.20000.list,PASS,,7570,7570,True,0,0.0
LH_23,23,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.25000.list,PASS,,8261,8261,True,0,0.0
LH_23,23,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.51209.list,PASS,,7262,7262,True,0,0.0
LH_23,23,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_0.75065.list,PASS,,6273,6273,True,0,0.0
LH_23,23,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_23_hlist_1.00000.list,PASS,,6006,6006,True,0,0.0
LH_24,24,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.20000.list,PASS,,2115,2115,True,0,0.0
LH_24,24,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.25000.list,PASS,,3660,3660,True,0,0.0
LH_24,24,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.51209.list,PASS,,6457,6457,True,0,0.0
LH_24,24,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_0.75065.list,PASS,,6533,6533,True,0,0.0
LH_24,24,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_24_hlist_1.00000.list,PASS,,6835,6835,True,0,0.0
LH_25,25,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_0.20000.list,PASS,,6745,6745,True,0,0.0
LH_25,25,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_0.25000.list,PASS,,7654,7654,True,0,0.0
LH_25,25,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_0.51209.list,PASS,,6986,6986,True,0,0.0
LH_25,25,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_0.75065.list,PASS,,6229,6229,True,0,0.0
LH_25,25,1.00000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_25_hlist_1.00000.list,PASS,,6226,6226,True,0,0.0
LH_26,26,0.20000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_26_hlist_0.20000.list,PASS,,4513,4513,True,0,0.0
LH_26,26,0.25000,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_26_hlist_0.25000.list,PASS,,5801,5801,True,0,0.0
LH_26,26,0.51209,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_26_hlist_0.51209.list,PASS,,5721,5721,True,0,0.0
LH_26,26,0.75065,/home/ml/thesis-camels/data/raw/CAMELS_SIMBA_1000U/LH_26_hlist_0.75065.list,PASS,,5106,5106,True,0,0.0
