universe_id,omega_m_0.20000,omega_m_0.25000,omega_m_0.51209,omega_m_0.75065,omega_m_1.00000,minimum,maximum,spread,consistent,catalogues_checked,header_key
LH_85,0.25940000000000002,0.25940000000000002,0.25940000000000002,0.25940000000000002,0.25940000000000002,0.25940000000000002,0.25940000000000002,0,True,5,Omega_M
LH_86,0.2346,0.2346,0.2346,0.2346,0.2346,0.2346,0.2346,0,True,5,Omega_M
LH_87,0.30059999999999998,0.30059999999999998,0.30059999999999998,0.30059999999999998,0.30059999999999998,0.30059999999999998,0.30059999999999998,0,True,5,Omega_M
LH_88,0.48099999999999998,0.48099999999999998,0.48099999999999998,0.48099999999999998,0.48099999999999998,0.48099999999999998,0.48099999999999998,0,True,5,Omega_M
LH_89,0.3342,0.3342,0.3342,0.3342,0.3342,0.3342,0.3342,0,True,5,Omega_M
LH_90,0.13300000000000001,0.13300000000000001,0.13300000000000001,0.13300000000000001,0.13300000000000001,0.13300000000000001,0.13300000000000001,0,True,5,Omega_M
LH_91,0.28139999999999998,0.28139999999999998,0.28139999999999998,0.28139999999999998,0.28139999999999998,0.28139999999999998,0.28139999999999998,0,True,5,Omega_M
LH_92,0.46739999999999998,0.46739999999999998,0.46739999999999998,0.46739999999999998,0.46739999999999998,0.46739999999999998,0.46739999999999998,0,True,5,Omega_M
LH_93,0.41699999999999998,0.41699999999999998,0.41699999999999998,0.41699999999999998,0.41699999999999998,0.41699999999999998,0.41699999999999998,0,True,5,Omega_M
LH_94,0.28220000000000001,0.28220000000000001,0.28220000000000001,0.28220000000000001,0.28220000000000001,0.28220000000000001,0.28220000000000001,0,True,5,Omega_M
LH_95,0.1706,0.1706,0.1706,0.1706,0.1706,0.1706,0.1706,0,True,5,Omega_M
LH_96,0.35899999999999999,0.35899999999999999,0.35899999999999999,0.35899999999999999,0.35899999999999999,0.35899999999999999,0.35899999999999999,0,True,5,Omega_M
LH_97,0.46860000000000002,0.46860000000000002,0.46860000000000002,0.46860000000000002,0.46860000000000002,0.46860000000000002,0.46860000000000002,0,True,5,Omega_M
