model,head_type,seed,target,prediction,residual,plotted_y,test_mae,test_rmse,test_r2,test_pearson
EvolveGCN-H,linear,123,0.2085999995470047,0.2174118608236313,0.008811861276626587,0.2174118608236313,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.22300000488758087,0.2608354091644287,0.03783540427684784,0.2608354091644287,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17100000381469727,0.18838857114315033,0.017388567328453064,0.18838857114315033,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.47780001163482666,0.5513854026794434,0.0735853910446167,0.5513854026794434,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.30379998683929443,0.30692213773727417,0.0031221508979797363,0.30692213773727417,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4790000021457672,0.4596882164478302,-0.01931178569793701,0.4596882164478302,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4758000075817108,0.4572104215621948,-0.01858958601951599,0.4572104215621948,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.15700000524520874,0.26700738072395325,0.1100073754787445,0.26700738072395325,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.27300000190734863,0.3489658236503601,0.07596582174301147,0.3489658236503601,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.39340001344680786,0.446566641330719,0.05316662788391113,0.446566641330719,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.31859999895095825,0.3696441054344177,0.05104410648345947,0.3696441054344177,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.16619999706745148,0.23098666965961456,0.06478667259216309,0.23098666965961456,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17419999837875366,0.22625687718391418,0.05205687880516052,0.22625687718391418,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.4018000066280365,0.395364910364151,-0.006435096263885498,0.395364910364151,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.36660000681877136,0.3769944906234741,0.010394483804702759,0.3769944906234741,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.21220000088214874,0.2713671922683716,0.05916719138622284,0.2713671922683716,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.31940001249313354,0.3196490406990051,0.00024902820587158203,0.3196490406990051,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.47859999537467957,0.5023746490478516,0.023774653673171997,0.5023746490478516,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.3142000138759613,0.32428815960884094,0.010088145732879639,0.32428815960884094,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
EvolveGCN-H,linear,123,0.17739999294281006,0.19352096319198608,0.016120970249176025,0.19352096319198608,0.052323977819722686,0.06692279737356953,0.6560747554103737,0.8439793687140361
